Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Providence,Weekly,29/08/2021 00:00,Conventional,1.333876192,91673.04,2925.11,51225.33,9.83,20886.42,13085.53,306.34,601.65,16626.34
Providence,Weekly,22/08/2021 00:00,Conventional,1.530164611,93376.57,2198.46,61670.21,14.73,19637.3,14395.2,505.58,737.1,9855.87
Providence,Weekly,15/08/2021 00:00,Conventional,1.564116833,86568.98,2853.81,59535.93,8.88,16244.82,13552.29,687.09,418.95,7925.54
Raleigh/Greensboro,Weekly,05/09/2021 00:00,Conventional,1.005096439,363321.41,131511.83,38081.2,2504.16,157455.37,82069.96,3206.04,635.91,33768.85
Raleigh/Greensboro,Weekly,29/08/2021 00:00,Conventional,1.143054749,417449.39,137149.13,82498.1,2452.56,165026.82,79957.1,3251.98,1367.1,30322.79
Raleigh/Greensboro,Weekly,22/08/2021 00:00,Conventional,1.006598888,486437.56,129358.65,85679.41,2623.98,245319.67,106338.69,4922.66,5521.95,23455.85
Raleigh/Greensboro,Weekly,15/08/2021 00:00,Conventional,1.146350922,423607.97,141715.39,68800.32,2503.79,171015.67,110915.89,1654.54,9928.01,39572.81
Richmond/Norfolk,Weekly,05/09/2021 00:00,Conventional,1.007011998,284982.38,75014.73,44884.59,587.84,98055.23,62019.85,565.43,1381.91,66439.98
Richmond/Norfolk,Weekly,29/08/2021 00:00,Conventional,1.084172684,301038.18,76788.27,61763.98,577.59,92503.81,60395.94,1874.25,2550.4,69404.53
Richmond/Norfolk,Weekly,22/08/2021 00:00,Conventional,0.972884559,325173.75,78382.55,55103.83,570.78,138334.23,65093.06,2651.91,6819.73,52782.36
Richmond/Norfolk,Weekly,15/08/2021 00:00,Conventional,1.041682439,296094.72,77737.3,52891.84,404.72,103795.63,60781.83,3527.61,4819.27,61265.24
Roanoke,Weekly,05/09/2021 00:00,Conventional,1.009003852,185962.81,47325.74,27789.13,54.67,56216.27,37626.62,1197,1883.24,54577
Roanoke,Weekly,29/08/2021 00:00,Conventional,1.004715602,190905.79,44217.68,31201.12,62.48,55319.64,37516.33,1742.74,2024.56,60104.87
Roanoke,Weekly,22/08/2021 00:00,Conventional,0.936941754,192166.72,47278.42,27068.75,63.26,71536.67,36923.21,2618.83,4651.11,46219.62
Roanoke,Weekly,15/08/2021 00:00,Conventional,1.01319749,180003.02,47670.2,26158.29,59.74,55657.2,36604.74,2093.96,4201.54,50457.6
Sacramento,Weekly,05/09/2021 00:00,Conventional,1.43797469,470007.97,121576.29,160558.72,6253.39,107850.98,101413.42,3229.01,0,73768.6
Sacramento,Weekly,29/08/2021 00:00,Conventional,1.564316432,421056.78,107290.64,126973.76,7017.79,104704.41,90624.32,11110.97,0,75070.17
Sacramento,Weekly,22/08/2021 00:00,Conventional,1.589533852,428809.94,104210.73,130316.89,4602.28,103672.73,79381.81,21746.55,0,86007.32
Sacramento,Weekly,15/08/2021 00:00,Conventional,1.578486677,438405.1,96418.28,142020.38,2959.78,112327.94,101607,7268.49,0,84678.73
San Diego,Weekly,05/09/2021 00:00,Conventional,1.128329396,686276.39,104926.27,20768.76,12189.28,326665.03,314607.66,4702.56,1466.58,221727.04
San Diego,Weekly,29/08/2021 00:00,Conventional,1.234600301,523033.55,87583.15,28130.98,13333.53,116414.18,99396.98,8742.17,1407.86,277571.71
San Diego,Weekly,22/08/2021 00:00,Conventional,1.088657474,541251.75,77847.38,38319.13,11117.95,97655.68,76735.67,13011.73,1485.71,316311.61
San Diego,Weekly,15/08/2021 00:00,Conventional,1.342886404,507491.61,84182.42,22498.55,15880.73,134259.69,124317.27,2123.63,1699.98,250670.23
San Francisco,Weekly,05/09/2021 00:00,Conventional,1.465118682,796270.75,260077.45,162964.48,18120.83,149936.39,137008.71,6.3,0,205171.6
San Francisco,Weekly,29/08/2021 00:00,Conventional,1.583704505,743016.51,191909.9,143973.71,17621.26,148204.18,133062.12,1322.08,0,241307.46
San Francisco,Weekly,22/08/2021 00:00,Conventional,1.636510346,723115.49,163895.67,130251.74,14477.3,144563.51,127961.44,3248.83,0,269927.28
San Francisco,Weekly,15/08/2021 00:00,Conventional,1.641262585,706063.99,145790.86,147353.57,7945.05,153743.15,138648.01,1734.08,0,251231.35
Seattle,Weekly,05/09/2021 00:00,Conventional,1.423297141,589918.02,86270.67,85141.9,379.7,83913.94,69666.51,5060.08,2369.57,334211.81
Seattle,Weekly,29/08/2021 00:00,Conventional,1.420185355,587636.02,70031.91,101741.04,502.13,80265.79,66791.68,4941.96,2302.42,335095.15
Seattle,Weekly,22/08/2021 00:00,Conventional,1.654340151,483343.3,73697.84,72859.74,749.35,84541.09,73251.88,2296.61,2301.11,251495.27
Seattle,Weekly,15/08/2021 00:00,Conventional,1.353236259,617218.96,91280.92,82924.79,693.18,89628.28,73633.05,5175.98,2903.82,352691.8
South Carolina,Weekly,05/09/2021 00:00,Conventional,1.143966493,461466.22,155261.06,51553.74,1238.53,144915.59,86511.7,19704.43,7111.55,108497.3
South Carolina,Weekly,29/08/2021 00:00,Conventional,1.137624263,481888.77,140304.27,65454.34,1279.1,179957.84,93426.56,15199.14,8323.71,94893.21
South Carolina,Weekly,22/08/2021 00:00,Conventional,1.173459787,473482.42,148539.47,69062.89,1317.98,156069.54,97145.93,14067.9,13170.53,98492.54
South Carolina,Weekly,15/08/2021 00:00,Conventional,1.191561055,478411.23,152370.8,68301.87,1852.96,147543.82,91422.13,19097.01,12966.82,108341.78
Spokane,Weekly,05/09/2021 00:00,Conventional,1.200338276,88874.53,19556.56,11898.6,49.91,14033.89,11700.13,1963.24,257.45,43335.57
Spokane,Weekly,29/08/2021 00:00,Conventional,1.193249939,81093.77,15141.55,13225.83,47.93,14388.77,12025.89,2173.11,80.43,38289.7
Spokane,Weekly,22/08/2021 00:00,Conventional,1.360602696,72830.78,17758.38,9942.37,35.45,14170.11,12749.19,982.01,300.41,30924.47
Spokane,Weekly,15/08/2021 00:00,Conventional,1.135488795,92699.84,21145.31,12238.28,139.9,15172.19,12640.5,2162.48,198.42,44004.16
St. Louis,Weekly,05/09/2021 00:00,Conventional,1.043102122,197915.6,84074.95,5615.41,92.03,66296.48,58409.28,5816.08,135.45,41836.72
St. Louis,Weekly,29/08/2021 00:00,Conventional,1.03177573,218399.22,79758.05,6532.52,49.29,73160.64,65858.73,5471.55,299.25,58898.71
St. Louis,Weekly,22/08/2021 00:00,Conventional,1.015872498,223947.81,83100.11,6586.29,81.36,69648.52,60358.91,5027.01,2529.45,64531.52
St. Louis,Weekly,15/08/2021 00:00,Conventional,0.979665732,219224.37,85543.4,7044.57,101.24,67246.49,56857.24,463.84,8155.35,59288.67
Syracuse,Weekly,05/09/2021 00:00,Conventional,1.097140239,74775.81,8819.9,29019.15,452.36,34621.44,29481.33,395.33,563.85,1862.96
Syracuse,Weekly,29/08/2021 00:00,Conventional,1.123713199,78009.45,7318.35,35361.24,515.36,31910.33,28303.32,1245.83,922.95,2904.17
Syracuse,Weekly,22/08/2021 00:00,Conventional,0.991903906,92734.93,6625.64,37141.03,494.16,47397.2,28534.63,1576.97,847.35,1076.91
Syracuse,Weekly,15/08/2021 00:00,Conventional,1.167613159,75206.83,7762.52,32513.58,389.11,32301.84,29508.05,813.88,1764,2239.78
Tampa,Weekly,05/09/2021 00:00,Conventional,1.101946998,554187.99,219114.44,14507.82,36.16,193030.7,134583.75,49280.83,5768.83,127498.88
Tampa,Weekly,29/08/2021 00:00,Conventional,1.075333721,523741.29,190191.11,15636.3,44.55,197331.97,146546.39,41971.39,5084.1,120537.35
Tampa,Weekly,22/08/2021 00:00,Conventional,1.040940905,546121.77,193434.16,16934.44,58.65,209689.23,134327.21,60956.83,10511.94,126005.29
Tampa,Weekly,15/08/2021 00:00,Conventional,1.048270053,554472.25,197669.62,18284.19,45.61,206795.98,128422.29,64773.45,9584.66,131676.85
Toledo,Weekly,05/09/2021 00:00,Conventional,0.989814143,139046.41,32140.74,16429.99,3952.72,34360.13,26475.27,491.27,3023.31,52162.83
Toledo,Weekly,29/08/2021 00:00,Conventional,1.099454116,118634.94,18601.44,19562.06,7280.33,31742.58,25899.48,678.43,3965.64,41448.54
Toledo,Weekly,22/08/2021 00:00,Conventional,0.993301513,129553.47,15291.86,24253.01,3856.46,37923.97,30041.06,558.34,4309.43,48228.17
Toledo,Weekly,15/08/2021 00:00,Conventional,0.937733529,148821.63,17161.68,29629.77,11769.66,36220.96,20549.6,565.03,4691.79,54039.56
West Tex/New Mexico,Weekly,05/09/2021 00:00,Conventional,0.874921948,898938.26,263109.51,74220.34,31331.44,353386.28,299394.15,49338.42,1641.17,176890.69
West Tex/New Mexico,Weekly,29/08/2021 00:00,Conventional,0.881492934,891025.82,267945.22,65967.42,29009.45,342295.59,275221.88,62313.61,1325.34,185808.15
West Tex/New Mexico,Weekly,22/08/2021 00:00,Conventional,0.887888926,875824.48,271620.61,54342.76,25267.36,344070.08,279421.63,58092.63,2757.6,180523.67
West Tex/New Mexico,Weekly,15/08/2021 00:00,Conventional,0.790585986,946862.6,285077.44,71946.91,35508.73,354137.28,285937.48,57502.12,6631.52,200192.24
Wichita,Weekly,05/09/2021 00:00,Conventional,0.918654823,101628.04,25256.58,3047.84,7.59,29816.08,25031.54,3264.19,500.28,43499.95
Wichita,Weekly,29/08/2021 00:00,Conventional,0.928601838,95331.48,24474.43,3049.72,9.76,29001.2,24104.36,3563.83,398,38796.38
Wichita,Weekly,22/08/2021 00:00,Conventional,0.929495295,94515.17,26450.18,2554.21,1.08,25301.69,19432.22,4159.18,552.66,40208.01
Wichita,Weekly,15/08/2021 00:00,Conventional,0.888535692,108887.13,27840.5,3460.27,7.03,26963.92,21340.11,4343.85,364.6,50615.4
California,Weekly,05/09/2021 00:00,Conventional,1.221680881,6827155.78,1633650.15,594407.38,156859.55,2403237.89,2176386.1,118803.61,37505.09,2039000.81
California,Weekly,29/08/2021 00:00,Conventional,1.308969395,5800961.98,1306842.76,535957.09,166193.27,1421544.22,1232930.89,70541.49,47141.65,2370424.63
California,Weekly,22/08/2021 00:00,Conventional,1.278281052,5795558.96,1146820.32,550116.25,155611.73,1302400.94,974078.09,208597.05,50519.94,2640609.72
California,Weekly,15/08/2021 00:00,Conventional,1.368022964,5711724.78,1186577.34,562926.03,156200.77,1475712.76,1276290.6,77340.9,52338.83,2330307.88
Great Lakes,Weekly,05/09/2021 00:00,Conventional,1.131019553,3742690.13,731252.29,684992.25,131456.39,999496.67,832464.18,54345.5,35241.44,1195492.52
Great Lakes,Weekly,29/08/2021 00:00,Conventional,1.183639248,3480916.55,515294.04,728215.14,193019.56,949516.98,831376.12,42365.46,43806.09,1094870.84
Great Lakes,Weekly,22/08/2021 00:00,Conventional,1.110083942,3687235.16,485916.18,752155.69,136684.3,1126869.86,945187.4,55017.05,53331.23,1185609.12
Great Lakes,Weekly,15/08/2021 00:00,Conventional,1.049757509,4036107.86,502701.36,980199.87,293631.21,899418.65,689835.27,43504.78,66013.78,1360156.76
Midsouth,Weekly,05/09/2021 00:00,Conventional,1.066124134,3580414.98,1048868.64,516004.01,10770.6,1324817.63,914130.94,24304.48,25757.77,679954.1
Midsouth,Weekly,29/08/2021 00:00,Conventional,1.114383462,3821465.31,1022365.06,715483.66,11011.38,1336677.65,880694.73,29321.38,30841.11,735927.56
Midsouth,Weekly,22/08/2021 00:00,Conventional,1.083140399,3910827.11,1023188.22,699482.63,10651.85,1599463.65,970921.35,51942.38,64092.82,578040.76
Midsouth,Weekly,15/08/2021 00:00,Conventional,1.138388064,3794385.82,1042793.65,685658.07,9928.8,1341185.23,957926.62,36721.22,73558.01,714820.08
Northeast,Weekly,05/09/2021 00:00,Conventional,1.170594716,4839754.19,521503.09,2371334.83,5597.09,1635602.34,1387701.96,9566.31,5521.95,305716.84
Northeast,Weekly,29/08/2021 00:00,Conventional,1.14274261,5229290.82,527685.91,2758422.95,5616.86,1501832.68,1321809.95,20357.91,28485.45,435732.42
Northeast,Weekly,22/08/2021 00:00,Conventional,1.217055074,5215303.08,497726.01,2760473.58,6077.46,1624900.61,1365961.16,34164.63,29860.03,326125.42
Northeast,Weekly,15/08/2021 00:00,Conventional,1.205045963,5314302.27,506255.98,2852282.11,9114.17,1599317.05,1388113.4,25244.34,37153.46,347332.96
Plains,Weekly,05/09/2021 00:00,Conventional,1.112603753,1790266.34,551075.31,350209.11,1396.81,551219.82,312387.64,142721.81,7169.77,336365.29
Plains,Weekly,29/08/2021 00:00,Conventional,1.128275171,1748106.06,531574.86,342393.25,1195.35,531805.97,325037.71,119108.07,26756.99,341136.63
Plains,Weekly,22/08/2021 00:00,Conventional,1.106987922,1787362.68,570610.09,373481.27,1286.53,493711.96,316871.98,91945.9,33137.27,348272.82
Plains,Weekly,15/08/2021 00:00,Conventional,1.027109478,1962020.37,570418.77,488234.23,1697.97,543108.85,304337.47,120222.99,66358.33,358560.55
South Central,Weekly,05/09/2021 00:00,Conventional,0.87640207,5932952.36,2255828.43,800516.46,132738.13,1698923.08,1394813.19,193802.83,71123.72,1044946.26
South Central,Weekly,29/08/2021 00:00,Conventional,0.851094585,6010887.49,2289542.3,798574.03,136414.51,1648816.49,1331516.64,204601.16,77167.47,1137540.16
South Central,Weekly,22/08/2021 00:00,Conventional,0.817748485,5862786.62,2238565.88,663239.2,90271.86,1963721.23,1673723.37,166940.03,87685.01,906988.45
South Central,Weekly,15/08/2021 00:00,Conventional,0.827015565,5794435.41,2387460.81,690100.75,142535.54,1522685.99,1266193.51,103916.66,115753.22,1051652.32
Southeast,Weekly,05/09/2021 00:00,Conventional,1.117562085,4887548.08,1847583.74,233179.41,1847.94,1532311.73,1140240.95,245725.59,70559.13,1272625.25
Southeast,Weekly,29/08/2021 00:00,Conventional,1.092183872,4885148.46,1768176.53,254842.94,1859.9,1606187.83,1220144.08,185389.31,64006.39,1254081.27
Southeast,Weekly,22/08/2021 00:00,Conventional,1.072708595,4934047.73,1812039.57,257627.07,1986.84,1649915.05,1178818.16,266951.61,103336.67,1212479.21
Southeast,Weekly,15/08/2021 00:00,Conventional,1.095134736,4969978.96,1806122.15,284943.97,2681.89,1594786.62,1102893.35,319612.39,107744.52,1281444.33
West,Weekly,05/09/2021 00:00,Conventional,1.017960271,7228980.33,1616163.51,983006.69,31294.09,1554824.66,1238819.41,167341.86,31994.71,3043691.38
West,Weekly,29/08/2021 00:00,Conventional,0.990021177,7269464.24,1633575.46,961995.56,27840.9,1442564.43,1142014.97,159168.55,48519.44,3203487.89
West,Weekly,22/08/2021 00:00,Conventional,1.100069979,6393052.5,1559017.18,745082.89,36686.99,1494591.57,1152265.08,167151.87,108369.94,2557673.87
West,Weekly,15/08/2021 00:00,Conventional,1.046698842,7005997.16,1450668.83,917869.28,37692.29,1517434.25,1162610.53,147988.95,94292.71,3082332.51
Total U.S.,Weekly,05/09/2021 00:00,Conventional,1.083413302,38829762.19,10205925.17,6533650.13,471960.61,11700433.82,9396944.36,956611.99,284873.59,9917792.46
Total U.S.,Weekly,29/08/2021 00:00,Conventional,1.0868604,38246240.9,9595056.92,7095884.62,543151.74,10438946.25,8285525.1,830853.35,366724.6,10573201.38
Total U.S.,Weekly,22/08/2021 00:00,Conventional,1.095702216,37586173.84,9333883.45,6801658.6,439257.56,11255574.86,8577826.58,1042710.51,530332.92,9755799.37
Total U.S.,Weekly,15/08/2021 00:00,Conventional,1.097656921,38588952.63,9452998.89,7462214.31,653482.65,10493649.4,8148200.74,874552.23,613212.87,10526607.37
Albany,Weekly,05/09/2021 00:00,Organic,1.727962136,4106.57,33.06,402.24,0,3472.95,1467.19,1904.57,6.3,198.31
Albany,Weekly,29/08/2021 00:00,Organic,1.734711146,3588.85,31.44,551.84,0,2843.86,1146.17,1623.43,0,161.72
Albany,Weekly,22/08/2021 00:00,Organic,1.682270808,4160.42,30.79,585.39,0,3333.4,1497.9,1755.73,0,210.85
Albany,Weekly,15/08/2021 00:00,Organic,1.705841925,4025.68,20.72,464.68,13.19,3307.56,1324.54,1926.62,0,219.53
Atlanta,Weekly,05/09/2021 00:00,Organic,1.617050457,34816.26,99.88,3149.76,0,17863.98,10021.66,6954.02,0,13702.64
Atlanta,Weekly,29/08/2021 00:00,Organic,1.601659129,32841.24,134.59,2851.66,0,17710.38,10035.01,6887.87,0,12144.61
Atlanta,Weekly,22/08/2021 00:00,Organic,1.78298279,30353.32,148.84,3808.64,0,14208.64,6514.76,6956.78,0,12187.21
Atlanta,Weekly,15/08/2021 00:00,Organic,1.722171594,31363.06,127.3,2676.33,0,14859.72,9981.95,4024.13,0,13699.7
Baltimore/Washington,Weekly,05/09/2021 00:00,Organic,1.725778794,63417.39,818.24,4913.88,8.09,47796.92,40296.51,4753.61,3.15,9880.26
Baltimore/Washington,Weekly,29/08/2021 00:00,Organic,1.831478948,58925.74,3167.98,3990.04,17.35,44549.25,35028.64,6436.76,3.15,7201.11
Baltimore/Washington,Weekly,22/08/2021 00:00,Organic,1.761140843,52127.08,730.16,3364.38,8.1,44731.53,35780.28,6406.05,0,3292.9
Baltimore/Washington,Weekly,15/08/2021 00:00,Organic,1.770301222,49005.81,358.65,2887.94,1.16,43563.8,36499.53,4421.42,3.15,2194.27
Birmingham/Montgomery,Weekly,05/09/2021 00:00,Organic,1.414400726,14760.21,37.45,314.31,0,13755.55,6130.36,6872.33,0,652.91
Birmingham/Montgomery,Weekly,29/08/2021 00:00,Organic,1.444648733,12810.17,52.06,244.77,0,11802.57,4238.78,6949.53,0,710.77
Birmingham/Montgomery,Weekly,22/08/2021 00:00,Organic,1.535853406,13351.6,36.08,323.96,0,12373.46,4299.61,7314.7,6.3,618.1
Birmingham/Montgomery,Weekly,15/08/2021 00:00,Organic,1.404187153,14616.89,13.81,223.03,0,13632.41,8722.33,4264.33,0,747.63
Boise,Weekly,05/09/2021 00:00,Organic,1.985213994,6475.51,12.68,596.55,0,2216.39,2216.39,0,0,3649.9
Boise,Weekly,29/08/2021 00:00,Organic,1.909515142,6672.24,5.29,571.44,0,2738.4,2738.4,0,0,3357.1
Boise,Weekly,22/08/2021 00:00,Organic,1.978055617,6477.7,2.84,424.5,0,2782.26,2782.26,0,0,3268.09
Boise,Weekly,15/08/2021 00:00,Organic,1.883331459,6089.18,20.26,519.14,0,2695.54,2695.54,0,0,2854.25
Boston,Weekly,05/09/2021 00:00,Organic,1.94305246,36280.53,215.82,1481.94,0,33815.96,28529.74,2742.47,0,766.8
Boston,Weekly,29/08/2021 00:00,Organic,1.90192673,35597.57,546.63,1766.28,0,32631.86,29588.71,2097.51,0,652.8
Boston,Weekly,22/08/2021 00:00,Organic,1.862406637,35341.37,241.63,1808.15,0,32569.7,29012.87,2532.99,0,721.88
Boston,Weekly,15/08/2021 00:00,Organic,1.831289313,34222.93,151.05,1612.84,0,31594.61,29008.24,1637.21,0,864.43
Buffalo/Rochester,Weekly,05/09/2021 00:00,Organic,1.559887519,12005.81,1060.97,158.56,7.76,10778.52,9747.68,1030.84,0,0
Buffalo/Rochester,Weekly,29/08/2021 00:00,Organic,1.624611837,12816.5,1181.46,82.01,3.32,11549.7,10449.96,1099.74,0,0
Buffalo/Rochester,Weekly,22/08/2021 00:00,Organic,1.651998334,14002.7,1061.94,106.42,4.43,12829.91,11449.03,1380.88,0,0
Buffalo/Rochester,Weekly,15/08/2021 00:00,Organic,1.664976881,11958,1051.23,58.77,2.22,10845.78,9911.41,934.37,0,0
Charlotte,Weekly,05/09/2021 00:00,Organic,1.589528692,19493.31,69.18,2519.28,27.22,8231.6,2161.16,5311.29,0,8646.03
Charlotte,Weekly,29/08/2021 00:00,Organic,1.586380792,20304.07,59.67,2522.36,18.01,10185.98,3674.53,5906.64,0,7518.06
Charlotte,Weekly,22/08/2021 00:00,Organic,1.655545075,20963.14,27.1,2629.95,22.54,17060.04,9737.86,6670.13,0,1223.53
Charlotte,Weekly,15/08/2021 00:00,Organic,1.645051258,18637.83,75.26,2343.07,18.14,15256.15,11132.02,3368.14,0,945.21
Chicago,Weekly,05/09/2021 00:00,Organic,1.769185127,43885.85,504.32,3563.43,0,16831.34,12872.84,550.2,0,22986.76
Chicago,Weekly,29/08/2021 00:00,Organic,1.752063219,43645.62,560.85,3557.01,0,17113.05,12985.5,747.6,0,22414.7
Chicago,Weekly,22/08/2021 00:00,Organic,1.637781404,46145.59,477.67,3422.44,0,21399.25,17620.3,802.2,0,20846.23
Chicago,Weekly,15/08/2021 00:00,Organic,1.705203415,44210.06,534.68,3592.64,0,19265.81,14064.11,697.2,0,20816.93
Cincinnati/Dayton,Weekly,05/09/2021 00:00,Organic,1.869911716,14697.99,451.94,1807.75,0,2366.93,733.17,1633.77,0,10071.37
Cincinnati/Dayton,Weekly,29/08/2021 00:00,Organic,2.273368287,15461.53,503.2,2420.59,0,2860.29,780.18,2080.11,0,9677.46
Cincinnati/Dayton,Weekly,22/08/2021 00:00,Organic,1.950861842,13534.24,659.63,3172.29,0,2648.54,926.52,1722.03,0,7053.79
Cincinnati/Dayton,Weekly,15/08/2021 00:00,Organic,1.928971965,14355.94,367.07,2185.64,0,2061.68,1545.65,516.04,0,9741.55
Columbus,Weekly,05/09/2021 00:00,Organic,1.816044266,8580.53,623.26,916.31,0,2777.79,1727.43,1003.11,0,4263.16
Columbus,Weekly,29/08/2021 00:00,Organic,2.005389499,9422.56,627.26,1080.17,0,3566.65,1956.71,1442.99,0,4148.48
Columbus,Weekly,22/08/2021 00:00,Organic,1.757011861,9513.07,689.33,1121.71,0,3537.91,1945.94,1472.27,0,4164.11
Columbus,Weekly,15/08/2021 00:00,Organic,1.809620141,9026.07,505.66,852.41,0,3338.1,3070.31,204.8,0,4329.89
Dallas/Ft. Worth,Weekly,05/09/2021 00:00,Organic,1.513591943,45199.82,5597.7,511.59,0,27475.8,23387.1,0,3.15,11614.73
Dallas/Ft. Worth,Weekly,29/08/2021 00:00,Organic,1.368649633,40849.08,5384.71,337.11,0,28738.15,24271.45,0,31.5,6389.1
Dallas/Ft. Worth,Weekly,22/08/2021 00:00,Organic,1.452578583,33989.47,3549.2,209.21,0,22147.97,18056.12,0,25.2,8083.08
Dallas/Ft. Worth,Weekly,15/08/2021 00:00,Organic,1.536200906,34446.22,5089.97,356.8,0,18166.96,14591.71,0,9.45,10832.48
Denver,Weekly,05/09/2021 00:00,Organic,1.707362797,38675.83,2814.83,856.81,0,11903.33,9764.48,0,0,23100.86
Denver,Weekly,29/08/2021 00:00,Organic,1.604488112,24412.35,2541.7,703.82,1.08,11150.08,8727.73,0,0,10015.67
Denver,Weekly,22/08/2021 00:00,Organic,1.522468032,18250.3,1455.08,783.86,0,9735.99,7461.69,0,3.15,6275.37
Denver,Weekly,15/08/2021 00:00,Organic,1.678455405,26410.68,2276.92,889.46,0,9227.01,6833.01,0,0,14017.3
Detroit,Weekly,05/09/2021 00:00,Organic,1.436301245,20477.23,289.66,1621.4,0,12704.12,12392.27,0,0,5862.05
Detroit,Weekly,29/08/2021 00:00,Organic,1.627436405,19099.66,215.55,2016.92,0,11292.59,11015.39,0,0,5574.6
Detroit,Weekly,22/08/2021 00:00,Organic,1.408006312,20888.58,267.22,2086.01,0,13038.98,12872.03,0,0,5496.37
Detroit,Weekly,15/08/2021 00:00,Organic,1.449150828,19556.62,159.83,1616.2,0,11823.93,11647.53,0,0,5956.66
Grand Rapids,Weekly,05/09/2021 00:00,Organic,1.305323597,11666.25,72.41,1048.33,0,10545.51,10229.93,0,0,0
Grand Rapids,Weekly,29/08/2021 00:00,Organic,1.294733291,10534.26,61.66,991.54,0,9481.06,9243.57,0,0,0
Grand Rapids,Weekly,22/08/2021 00:00,Organic,1.270482831,11025.06,57.63,1151.48,0,9815.94,9591.71,0,0,0
Grand Rapids,Weekly,15/08/2021 00:00,Organic,1.333529575,8570.84,16.47,798.32,0,7756.05,7477,0,0,0
Harrisburg/Scranton,Weekly,05/09/2021 00:00,Organic,1.574274537,14751.57,434.74,500.82,0,13816.01,10132.74,3299.23,12.6,0
Harrisburg/Scranton,Weekly,29/08/2021 00:00,Organic,1.588382777,15188.4,125.15,536.9,0,14526.35,10411.28,3905.61,0,0
Harrisburg/Scranton,Weekly,22/08/2021 00:00,Organic,1.608332209,15189.75,155.6,482.28,0,14551.87,10342,3966.24,3.15,0
Harrisburg/Scranton,Weekly,15/08/2021 00:00,Organic,1.612871047,13760.08,88.9,516.58,0,13154.6,10651.38,2268.39,0,0
Hartford/Springfield,Weekly,05/09/2021 00:00,Organic,1.910194282,18950.09,213.54,4896.15,0,13840.41,9806.79,2130.58,0,0
Hartford/Springfield,Weekly,29/08/2021 00:00,Organic,1.914832483,20872.31,384.75,6125.49,3.33,14358.73,11512.2,2116.8,0,0
Hartford/Springfield,Weekly,22/08/2021 00:00,Organic,1.893243825,19036.38,227.26,5647.5,0,13161.63,10136.75,2243.59,0,0
Hartford/Springfield,Weekly,15/08/2021 00:00,Organic,1.928536173,19012.06,180.01,6125.49,0,12706.56,10359.95,1843.93,0,0
Houston,Weekly,05/09/2021 00:00,Organic,1.724173271,19587.42,5061.16,95.33,0,7040.64,6155.49,0,0,7390.29
Houston,Weekly,29/08/2021 00:00,Organic,1.693884129,15184.67,3812.75,40.31,0,5611.33,4833.28,0,0,5720.27
Houston,Weekly,22/08/2021 00:00,Organic,1.795051173,16371.9,3886.24,8.48,0,6350.79,5560.14,0,3.15,6126.39
Houston,Weekly,15/08/2021 00:00,Organic,1.694164428,16897.36,4418.84,48.6,0,4750.99,4039.09,0,0,7678.94
Indianapolis,Weekly,05/09/2021 00:00,Organic,1.592429047,9668.05,162.77,773.45,0,5424.44,3475.55,1438.59,0,3307.4
Indianapolis,Weekly,29/08/2021 00:00,Organic,1.757185811,9893.05,185.87,973.18,0,5712.79,3585.15,1434.64,0,3021.22
Indianapolis,Weekly,22/08/2021 00:00,Organic,1.523794391,9179.5,128.16,768.05,0,5913.41,3825.45,1555.61,3.15,2369.88
Indianapolis,Weekly,15/08/2021 00:00,Organic,1.583433315,8676.48,122.84,684.22,0,5366.51,3545.83,1140.28,0,2502.91
Jacksonville,Weekly,05/09/2021 00:00,Organic,1.301881176,16671.81,74.69,204.35,0,16327.46,12273.29,3811.62,0,65.3
Jacksonville,Weekly,29/08/2021 00:00,Organic,1.288978295,16150.15,78.28,156.52,0,15880.47,11748.67,3898.7,0,34.88
Jacksonville,Weekly,22/08/2021 00:00,Organic,1.531750691,13595.72,64.93,147.37,0,13349.64,9142.46,3967.77,0,33.79
Jacksonville,Weekly,15/08/2021 00:00,Organic,1.453799343,13649,49.43,179.6,0,13380.55,11284.37,1825.28,0,39.43
Las Vegas,Weekly,05/09/2021 00:00,Organic,1.710943991,14656.6,819.06,385.35,0,6004.03,5563.03,0,0,7448.16
Las Vegas,Weekly,29/08/2021 00:00,Organic,1.690643371,14613.53,896.56,381.75,0,6177.54,5645.19,0,0,7157.67
Las Vegas,Weekly,22/08/2021 00:00,Organic,1.686163197,14644.99,820.4,430.61,0,6251.31,5797.71,0,0,7142.67
Las Vegas,Weekly,15/08/2021 00:00,Organic,1.60366523,15162.18,919.25,426.18,0,6494.91,5997.21,0,3.15,7321.85
Los Angeles,Weekly,05/09/2021 00:00,Organic,1.814806086,136986.51,5021.73,2734.35,1.41,63631.2,34771.48,2154.6,0,65597.83
Los Angeles,Weekly,29/08/2021 00:00,Organic,1.87186779,137055.78,4903.28,2450.41,1.41,63110.46,37882.77,2793,0,66590.22
Los Angeles,Weekly,22/08/2021 00:00,Organic,1.82547884,148477.7,4283.44,2283.27,0,74502.91,61392.26,3137.4,0,67408.08
