Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Syracuse,Weekly,04/01/2021 00:00,Organic,1.587223926,3178.57,233.31,141.56,0,2748.87,2741,0,0,54.82
Tampa,Weekly,04/01/2021 00:00,Organic,0.913033408,27671.31,118.25,0,0,27375.61,27375.61,0,0,177.45
Toledo,Weekly,04/01/2021 00:00,Organic,1.395370765,3741.88,76.79,512.18,0,1223.21,1158.35,64.85,0,1929.71
West Tex/New Mexico,Weekly,04/01/2021 00:00,Organic,1.046033452,31067.69,813.93,620.87,2015.57,21445.2,21445.2,0,0,6172.11
Wichita,Weekly,04/01/2021 00:00,Organic,1.362169698,2548.94,307.41,13.11,0,979.13,979.13,0,0,1249.3
California,Weekly,04/01/2021 00:00,Organic,1.648762384,333216.18,17130.92,19335.72,12.87,149804.87,142761.86,1289.4,0,146931.79
Great Lakes,Weekly,04/01/2021 00:00,Organic,1.505937576,156469.36,5986.13,17476.31,0,70705.31,68290.31,2337.16,63,62301.61
Midsouth,Weekly,04/01/2021 00:00,Organic,1.253645806,250974.17,2342.23,22897.27,121.49,157809.77,156828.06,96.09,6.3,67803.41
Northeast,Weekly,04/01/2021 00:00,Organic,1.60383111,255627.24,16936.73,33617.68,20,191668.41,182575.2,0,28.35,13384.42
Plains,Weekly,04/01/2021 00:00,Organic,1.405435215,44473.78,6762.16,2501.92,51.73,30107.74,28343.33,1747.83,3.15,5050.24
South Central,Weekly,04/01/2021 00:00,Organic,1.283569109,132420.25,15411.84,1023.95,1514.01,88955.23,86973.19,1982.04,0,25515.21
Southeast,Weekly,04/01/2021 00:00,Organic,1.118705466,224379.03,1910.74,8546.41,86.42,181994.57,179599.35,2395.22,0,31840.88
West,Weekly,04/01/2021 00:00,Organic,1.419538318,371206.39,17654.58,54582.11,1117.42,101103.89,95752.22,0,0,196748.39
Total U.S.,Weekly,04/01/2021 00:00,Organic,1.424763796,1768766.39,84135.34,159981.37,2923.94,972149.8,941123.52,9847.74,100.8,549575.96
Albany,Weekly,10/01/2021 00:00,Conventional,1.24970396,139381.5,7066.68,98488.83,31.19,28933.96,25932.01,2753.1,0,4860.84
Atlanta,Weekly,10/01/2021 00:00,Conventional,0.86129364,809439.03,318074.35,39660.41,28.65,182834.27,165086.61,12736.37,2060.95,268841.35
Baltimore/Washington,Weekly,10/01/2021 00:00,Conventional,1.216062692,962713.2,186130.62,286565.86,3214.55,390787.05,362429.87,12.6,17239.95,96015.12
Birmingham/Montgomery,Weekly,10/01/2021 00:00,Conventional,0.788203932,366703.01,174279.27,9709.83,10.39,108187.59,92072.99,12360.86,3245.57,74515.93
Boise,Weekly,10/01/2021 00:00,Conventional,1.0279345,140710.78,39036.24,12242.59,1237.77,33466.97,27681.97,0,121.49,54727.21
